timestamp,position,tc_temp,internal_temp
953437,1490,1040.0,22.56
953545,1491,1040.25,22.56
953653,1492,1035.0,22.56
953761,1493,1034.0,22.56
953869,1494,1029.0,22.56
953977,1495,1028.25,22.56
954087,1496,1026.75,22.56
954194,1497,1026.25,22.56
954302,1498,1026.5,22.56
954410,1499,1023.5,22.56
954518,1500,1022.75,22.56
954627,1501,1019.75,22.56
954735,1502,1018.5,22.56
954843,1503,1017.25,22.56
954951,1504,1015.25,22.5
955060,1505,1014.5,22.56
955168,1506,1012.0,22.56
955276,1507,1011.0,22.56
955386,1508,1011.75,22.56
955495,1509,1010.5,22.56
955603,1510,1010.75,22.56
955711,1511,1008.5,22.56
955820,1512,1006.75,22.56
955928,1513,1007.5,22.56
956037,1514,1004.0,22.56
956145,1515,1004.5,22.5
956253,1516,1002.0,22.62
956362,1517,1001.0,22.56
956471,1518,999.5,22.56
956580,1519,999.0,22.56
956688,1520,999.5,22.56
956796,1521,997.0,22.56
956904,1522,996.25,22.56
957012,1523,995.0,22.5
957120,1524,994.5,22.56
957228,1525,994.75,22.56
957337,1526,993.25,22.56
957444,1527,993.75,22.56
957554,1528,991.5,22.5
957662,1529,991.0,22.56
957769,1530,991.75,22.56
957878,1531,989.5,22.56
957986,1532,990.5,22.56
958095,1533,989.75,22.56
958204,1534,988.5,22.56
958312,1535,990.0,22.56
958420,1536,988.0,22.56
958528,1537,987.75,22.56
958635,1538,986.75,22.56
958743,1539,986.5,22.56
958851,1540,986.0,22.56
958960,1541,985.75,22.5
959069,1542,987.25,22.56
959176,1543,986.0,22.62
959285,1544,985.75,22.56
959394,1545,985.5,22.56
959502,1546,985.25,22.56
959610,1547,986.0,22.56
959721,1548,983.75,22.62
959828,1549,985.25,22.56
959937,1550,984.25,22.56
960044,1551,983.5,22.56
960154,1552,985.5,22.56
960262,1553,983.5,22.56
960372,1554,984.0,22.56
960480,1555,984.5,22.56
960589,1556,983.5,22.56
960698,1557,985.25,22.56
960806,1558,984.25,22.56
960915,1559,984.0,22.56
961024,1560,983.75,22.56
961133,1561,983.5,22.5
961240,1562,983.5,22.56
961349,1563,983.75,22.56
961457,1564,985.75,22.56
961566,1565,984.75,22.56
961674,1566,986.5,22.56
961783,1567,985.25,22.56
961891,1568,984.75,22.56
962000,1569,986.5,22.56
962107,1570,984.5,22.56
962216,1571,985.5,22.56
962323,1572,985.75,22.56
962432,1573,984.5,22.56
962541,1574,986.5,22.56
962649,1575,985.0,22.56
962758,1576,985.25,22.56
962866,1577,985.25,22.56
962975,1578,985.25,22.56
963084,1579,986.0,22.56
963191,1580,985.25,22.56
963299,1581,985.25,22.56
963408,1582,985.5,22.5
963518,1583,985.25,22.5
963627,1584,985.25,22.56
963734,1585,985.0,22.56
963842,1586,987.0,22.56
963951,1587,985.25,22.56
964060,1588,987.5,22.56
964168,1589,987.5,22.56
964276,1590,987.0,22.56
964385,1591,989.25,22.5
964493,1592,987.75,22.56
964601,1593,988.75,22.56
964709,1594,989.75,22.5
964838,1595,988.5,22.56
964945,1596,989.25,22.56
965053,1597,989.5,22.56
965161,1598,990.0,22.56
965269,1599,991.25,22.62
965377,1600,991.25,22.56
965488,1601,992.0,22.56
965595,1602,993.25,22.56
965703,1603,996.25,22.56
965811,1604,995.0,22.56
965920,1605,998.25,22.56
966028,1606,997.75,22.56
966137,1607,997.75,22.56
966245,1608,1000.25,22.56
966354,1609,998.25,22.56
966461,1610,999.75,22.56
966569,1611,1000.25,22.56
966677,1612,998.75,22.5
966785,1613,1000.75,22.56
966895,1614,999.25,22.5
967004,1615,999.5,22.5
967113,1616,999.5,22.56
967222,1617,999.75,22.56
967330,1618,999.25,22.56
967440,1619,999.25,22.56
967549,1620,1000.75,22.56
967657,1621,998.75,22.56
967766,1622,999.0,22.56
967874,1623,1000.0,22.56
967983,1624,1000.0,22.56
968092,1625,1002.0,22.56
968200,1626,999.25,22.56
968309,1627,999.75,22.56
968417,1628,999.25,22.56
968526,1629,997.5,22.56
968635,1630,999.0,22.56
968744,1631,996.0,22.56
968853,1632,995.75,22.56
968962,1633,994.5,22.56
969071,1634,994.0,22.56
969179,1635,995.0,22.56
969287,1636,992.25,22.56
969395,1637,991.5,22.56
969503,1638,991.25,22.56
969611,1639,991.0,22.56
969720,1640,990.5,22.56
969827,1641,989.0,22.56
969935,1642,987.75,22.56
970045,1643,984.25,22.56
970153,1644,984.0,22.62
970261,1645,983.0,22.56
970369,1646,981.0,22.56
970478,1647,982.25,22.56
970586,1648,979.75,22.62
970695,1649,978.75,22.56
970804,1650,978.25,22.56
970912,1651,972.25,22.5
971022,1652,971.5,22.56
971129,1653,966.25,22.56
971238,1654,964.75,22.56
971346,1655,962.0,22.56
971455,1656,959.25,22.56
971562,1657,959.0,22.56
971671,1658,954.25,22.56
971779,1659,953.0,22.56
971888,1660,946.75,22.62
971996,1661,944.5,22.56
972105,1662,943.0,22.56
972212,1663,942.75,22.56
972320,1664,945.0,22.56
972428,1665,943.0,22.5
972536,1666,944.0,22.56
